Speaker,Time,Date,Duration,Statement,Trimmed Statement,rac,gender,discriminat,bias,automat,cognitive,user,interact,deploy,data,algorithm,program,develop,process,societ,existing,histor,selection,measures
PANAMA,11:24:48,2024-08-30,0:04:07,"Thank you very much, Chairman. As to this section, I would like to start out by supporting the proposal made by the ICRC to have an additional paragraph. I understand that would be a type of a zero paragraph and now on states' obligations when it comes to the study acquisition and adoption of any law systems determining whether their use in some circumstances would violate IHL, we believe that this is a fundamental addition to this segment. As regards paragraph 1, as such, we think that comments made by the Russian Federation and Brazil could be incorporated. On the second paragraph, we support the comments made by the ICRC, Austria and Switzerland. We believe that the current wording is quite weak bearing in mind that this is a legal obligation enshrined in additional protocol 1. I would also recall and some states, however, argue who are not states' parties to this instrument, the vast majority of their provisions constitute customary international law including Article 36. That is why we would support its wording to abide by it. On paragraphs 3 and 4, we would like to recall that pursuant to the proposal protocol 6 which was presented by the G16 during the sessions last year, we believe that the adoption of measures and mechanisms to avoid algorithmic biases should be part of regulations. In that regard, we would invite you to consider the proposal set out in that document. This is Article 4, section 2. At the same time, we would like to recall that a group of countries including Austria, Belgium, Canada, Costa Rica, Germany, Ireland, Luxembourg, Mexico, Uruguay and my own country, Panama submitted a working document this year to address bias in autonomous systems which includes a set of measures to mitigate its effect. We would also like to ask you to consider those aspects which are reflected in paragraph 11 of the document. We would like to echo Delegations of Austria, I believe, and others as well as civil society in that we would not agree with maintaining qualifiers referring to bias because bias already have a negative connotation. It would give the impression that there are bias that are permissible. Many of these are based on race and precisely the prohibition of racial discrimination takes on illegal status of a norm of international law and obligations. That is why we need to be very cautious when it comes to these type of wordings. We do not want to give the impression that there are bias that are positive or permissible, particularly within the context of weapons which will have a certain level of autonomy in the selection process of their targets. Thank you, sir. Yes.","[...] On paragraphs 3 and 4, we would like to recall that pursuant to the proposal protocol 6 which was presented by the G16 during the sessions last year, we believe that the adoption of measures and mechanisms to avoid algorithmic biases should be part of regulations. In that regard, we would invite you to consider the proposal set out in that document. This is Article 4, section 2. At the same time, we would like to recall that a group of countries including Austria, Belgium, Canada, Costa Rica, Germany, Ireland, Luxembourg, Mexico, Uruguay and my own country, Panama submitted a working document this year to address bias in autonomous systems which includes a set of measures to mitigate its effect. We would also like to ask you to consider those aspects which are reflected in paragraph 11 of the document. We would like to echo Delegations of Austria, I believe, and others as well as civil society in that we would not agree with maintaining qualifiers referring to bias because bias already have a negative connotation. It would give the impression that there are bias that are permissible. Many of these are based on race and precisely the prohibition of racial discrimination takes on illegal status of a norm of international law and obligations. That is why we need to be very cautious when it comes to these type of wordings. We do not want to give the impression that there are bias that are positive or permissible, particularly within the context of weapons which will have a certain level of autonomy in the selection process of their targets. [...]",x,,x,x,,,,,,,x,,,,,,,x,x
ARGENTINA,11:51:20,2024-08-30,0:02:08,"Thank you, Chairperson. Argentina shares the concept that strengthens the reliable or appropriate knowledge as indicated by France for the use of lethal autonomous weapon systems. There are controls on production and the broadening of responsibility of manufacturers. If that is the case, we still need to step up control or prohibition of products that are produced without supervision in order to avoid black boxes in software. Argentina sees the need to limit the use of algorithms or systems that are programmed which seek to identify based on race, gender or any other discriminatory identification countered to international law including IHL. It is suggested that we should consider the possibility of including a paragraph that would cover ways to prevent proliferation of technology that does not meet standards for control and autonomy with human control. And finally, we support Brazil's proposal on the reference to realistic simulated scenarios. Furthermore, we have doubts about the unwanted bias and support was said by Panama Island and other Delegations on the need to revise the text both in terms of the objectives and the modal verb should in order to make these paragraphs consistent with imperative norms of international law. Thank you.","[...] Argentina sees the need to limit the use of algorithms or systems that are programmed which seek to identify based on race, gender or any other discriminatory identification countered to international law including IHL. [...]
Furthermore, we have doubts about the unwanted bias and support was said by Panama Island and other Delegations on the need to revise the text both in terms of the objectives and the modal verb should in order to make these paragraphs consistent with imperative norms of international law. [...]",x,x,x,x,,,,,,,x,x,,,,,,,
AUSTRIA,17:36:48,2024-03-06,0:02:26,"I think everyone has deserved to go home at this moment but it is a very interesting topic and I think it is a concept that deserves a little bit more attention. The big question here is the question is there unintended bias or not? It is a conceptual question, probably one we should agree. There are different ways of seeing it. We see it and this comes probably also from the kind of work that has been done in other international organizations on AI as something that is per se unintended. The problem if you talk about bias is that bias is a reflection of something that is already intrinsic in societies. If you talk about bias in our context, any kind of discrimination that is there to comply with IHL is not bias. It is something that has been deliberately programmed into the system to comply with IHL. In that case it is not bias because bias would more or less be an accident. We had this discussion today. There are different types of biases. There is the kind of bias that stems from faulty datasets or not programming but kind of the way the datasets are selected, implemented, maintained. Also the cognitive biases that exist in human existence or the way that the human brain works. I have here a list that includes stereotyping, bandwagon effect, priming, selective perception or confirmation bias. Those are just cognitive biases that you can see in everyday's world and that are then introduced into an algorithmic system and then you have something that has come up often today, real life prejudices which are racial bias, gender bias and so on. It is a very wide area. It is all in most cases faulty. It is not intentional and a bias that is there for having kind of a positive discrimination on the battlefield in our interpretation is not a bias but it is something that has been placed there to comply with IHL. Thank you.","[...]The big question here is the question is there unintended bias or not? It is a conceptual question, probably one we should agree. There are different ways of seeing it. We see it and this comes probably also from the kind of work that has been done in other international organizations on AI as something that is per se unintended. The problem if you talk about bias is that bias is a reflection of something that is already intrinsic in societies. If you talk about bias in our context, any kind of discrimination that is there to comply with IHL is not bias. It is something that has been deliberately programmed into the system to comply with IHL. In that case it is not bias because bias would more or less be an accident. We had this discussion today. There are different types of biases. There is the kind of bias that stems from faulty datasets or not programming but kind of the way the datasets are selected, implemented, maintained. Also the cognitive biases that exist in human existence or the way that the human brain works. I have here a list that includes stereotyping, bandwagon effect, priming, selective perception or confirmation bias. Those are just cognitive biases that you can see in everyday's world and that are then introduced into an algorithmic system and then you have something that has come up often today, real life prejudices which are racial bias, gender bias and so on. It is a very wide area. It is all in most cases faulty. It is not intentional and a bias that is there for having kind of a positive discrimination on the battlefield in our interpretation is not a bias but it is something that has been placed there to comply with IHL. [...]",x,x,x,x,,x,,,,x,x,,,,,,,,
MEXICO,17:26:42,2024-03-05,0:07:03,"Thank you very much, Chair. And to begin, I would like to express my apologies because due to the very charged disarmament agenda I was unable to be present this morning and I arrived late to this afternoon's session. So I can not offer very interactive comments given that I was unable to listen to all Delegations unfortunately. But I will make a presentation about some of these items from our perspective. I would like to begin by mentioning the seminar report of Christopher Hines, special rapporteur on extrajudicial executions who in 2013 already, and we believe this is still quite relevant for our discussions today, said that autonomous weapon systems raise serious and far reaching concerns for the protection of people and lives in both peace and war. This includes a question about the ways in which they can be programmed in order to meet the IHL requirements as well as the protection standards of life under international human rights law. Obviously, this perspective recognizes the necessary interaction between the IHL system and international human rights law which is backed by its jurisprudence and the impossibility of creating a false division in the way in which they ought to be considered and so for our Delegation, there is no question that any weapon system must be developed, deployed and used in keeping with IHL but also with international human rights law, international criminal law and the law and international responsibility in the UN charter. Though Mexico considers that significant human control is an implicit component in IHL, we also take into account existing differences, those that we have been discussing for a decade. So we appreciate the presentation of your list, the various components and elements that would make laws incompatible with IHL. However, we believe along with ICRC and Austria and others that the goal is not simply to have a list of the prohibitions or general applicable regulations but rather to define the specific relevant aspects to ensure that its implementation is compatible bearing in mind the specific elements of autonomy. And so in that regard, we agree with the list that reiterates already existing prohibitions of IHL, particularly those that by their nature are prohibited given that they cannot be used in keeping with existing limitations. For example, being unable to distinguish between military and civilian targets, between combatants and civilian population, between active combatants and persons or to combat, those that cause superfluous damage or unnecessary harm or those that have effects that cannot be limited in keeping with the fundamental principles of IHL, specifically on grounds of distinction and proportionality. Ten years of studying this subject has also shown that these prohibitions given autonomous technologies raise some very essential difficulties bearing in mind that these determinations take place in very complicated contexts and differentiated contexts which require a fundamental human assessment. So we agree with Pakistan and others in that regard who say that we need a more subtle approach, one that would identify specific and indispensable elements in order to be able to meet these general obligations. From our standpoint, some of them include that the development and use of autonomous weapons systems that cannot be controlled, I will start again, to prohibit the use and development of autonomous systems that cannot be controlled by humans for which they are limited to cognitive and epistemological limitations in addition to being subjected to different types of bias, for example, those arising from the source of information being employed or algorithmic bias. Two, that the development and use of autonomous weapons systems whose programming allows for the removal of human control over the critical functions related to the selection of targets, the involvement and use of force, the development and use of autonomous weapons systems whose effects do not meet the criteria of predictability and whether it is explainable for the operators. Or four, the development and use of autonomous weapons systems that were not subjected to a legal assessment in keeping with the obligations under Article 36 of the additional protocol 1 in customary law. Now, the simple involvement of a human in the selection operation and the involvement in the use of force does not resolve in and of itself the compatibility risks with IHL given that it seems to not involve some fundamental components of the human component. There must be a guarantee that there are proper understanding of the limitations of their use, even spatial and temporal limitations and a decision that is taken must take place when they know the operational context through a sufficient knowledge of the situational environment. It must take the necessary precautions in carrying out operations in order to ensure that parameters of the mission do not change without human assessment and that it allows for constant oversight to guarantee intervention when needed, particularly in order to interrupt and deactivate the system during the operational stage. And lastly, that the guarantee that human involvement be substantive, not just in name only. Now, all of these are elements that as has been said will require further consideration in future debates. And lastly, we would like to reiterate as we said yesterday when we agree with the ICRC and others on the relevance of the ethical perspective, deontologically speaking and under the criterion of human dignity, which is part and parcel inherently implicit in IHL and international human rights law. Thank you.","[...] And so in that regard, we agree with the list that reiterates already existing prohibitions of IHL, particularly those that by their nature are prohibited given that they cannot be used in keeping with existing limitations. For example, being unable to distinguish between military and civilian targets, between combatants and civilian population, between active combatants and persons or to combat, those that cause superfluous damage or unnecessary harm or those that have effects that cannot be limited in keeping with the fundamental principles of IHL, specifically on grounds of distinction and proportionality. Ten years of studying this subject has also shown that these prohibitions given autonomous technologies raise some very essential difficulties bearing in mind that these determinations take place in very complicated contexts and differentiated contexts which require a fundamental human assessment. So we agree with Pakistan and others in that regard who say that we need a more subtle approach, one that would identify specific and indispensable elements in order to be able to meet these general obligations. From our standpoint, some of them include that the development and use of autonomous weapons systems that cannot be controlled, I will start again, to prohibit the use and development of autonomous systems that cannot be controlled by humans for which they are limited to cognitive and epistemological limitations in addition to being subjected to different types of bias, for example, those arising from the source of information being employed or algorithmic bias. [...]
",,,,x,,,,,,,x,,x,,,,,,
INDIA,10:31:41,2024-03-07,0:03:45,"Our Delegation would like to address the issues of risk mitigation with regard to lethal autonomous weapons systems and the consequential risks with their development and use. Risk mitigation is a proactive strategy to identify, assess and mitigate potential threats or uncertainties to ensure that we tackle the risks with actionable steps. As technology continues to evolve, the international community will be confronted with the legal, operational and humanitarian challenges posed by the development and use of laws and the associated risks. The challenges necessitate a concerted effort to identify and implement effective risk mitigation measures to ensure that it complies with the principles of international humanitarian law and does not use cause unnecessary suffering or superfluous injuries. We agree that the commitments made by the United States with regard to risk assessment and associated mitigation with the risk could be grouped under the following heads. They were covered extensively yesterday. Unintended engagements, loss of control over a system, loss of human control, lack of human judgment, difficulty in assigning responsibility and these kind of issues could be grouped under an operational risk. Unpredictable system behavior, unpredictability, unintended inappropriate behavior of a system, reliability, algorithmic biases, AI biases, limited data selection, et cetera could be grouped under a technological risk. Deliberate manipulation by malicious actors, development, deployment and use by non-state actors, proliferation and acquisition of technology by terrorist groups, acquisition by unauthorized users could be grouped under proliferation risks. Other risks are protected by the provisions of IHL which requires for the operators to be trained extensively through capacity building and awareness programs in the manner which these weapons systems are utilized. This would ensure that the provisions of distinction, proportionality and precautionary attack are adhered to and targeting is affected only against specific military targets. Associated with these are confidence building measures and sharing of best practices that can be effectively worked out through international cooperation and diplomacy. We believe that in this area, civil societies and governmental organizations, non-governmental organizations could play an active role to work closely with the states' parties to evolve risk mitigation measures that would ensure that only legitimate targeting within the confines of IHL is undertaken through use of laws. Our Delegation underscores that risk is inherent to any environment, especially so when we talk about weapons and targeting and hence the importance of implementing robust risk mitigation measures to address the challenges posed by laws. We believe that these risks could be mitigated through already established practices which have been brought out by several Delegations, which could be realigned to suit the development and use of laws. In conclusion, we believe that by implementing the concrete risk mitigation strategies, laws can be developed and used in a manner consistent with international law. Thank you, Mr. President.","[...] Unintended engagements, loss of control over a system, loss of human control, lack of human judgment, difficulty in assigning responsibility and these kind of issues could be grouped under an operational risk. Unpredictable system behavior, unpredictability, unintended inappropriate behavior of a system, reliability, algorithmic biases, AI biases, limited data selection, et cetera could be grouped under a technological risk. Deliberate manipulation by malicious actors, development, deployment and use by non-state actors, proliferation and acquisition of technology by terrorist groups, acquisition by unauthorized users could be grouped under proliferation risks.[...]",,,,x,,,x,,x,x,x,,x,,,,,,
IRELAND,11:05:10,2024-03-07,0:03:16,"Thank you, Chair. Throughout the process of the GGE on laws, a range of states, international organizations, civil society, academia and industry have consistently acknowledged the risks related to artificial intelligence and bias, in particular with regard to gender and racial bias. This is something which was also raised by several Delegations during our session yesterday afternoon and was likewise the subject of a side event hosted yesterday by UNIDIR, together with the permanent missions of Canada, Costa Rica, Germany, Ireland, Mexico and Panama. At yesterday's event, it was stressed that gender and other forms of biases in AI technologies go beyond technical solutions and there is a need for collective action and cooperation in this regard. As you will be aware, Chair, bias on autonomous weapons is also something that has been discussed in a range of working papers submitted to the GGE over the year. In this vein, Canada, Costa Rica, Germany, Ireland, Panama and Mexico have submitted a new working paper on the issue of autonomous weapons and bias. As our working paper notes, algorithms and related machine learning risk repeating, amplifying or contributing to unjust biases that programmers may not be aware of or that are the result of narrow data selection. Indeed, it is already acknowledged by industry and practitioners as an uncontroversial fact that human beings consciously or unconsciously encode their own biases into the programmes they write. As some experts have noted, bias is inherent in society and thus inherent in AI as well. This represents a major challenge in how we think and approach these issues both at the GGE and elsewhere and it demands substantive collective action on our part. In our working paper, we present a range of recommendations for the GGE to address some of these issues including that the GGE clearly identifies and recognizes the risk that the integration algorithmic biases into autonomous weapon poses to fundamental rights and safety. This should be done in a factual manner and the GGE should develop appropriate measures to tackle the issue. Furthermore, we recommend that the future normative framework on autonomous weapons should include a number of positive obligations and commitments with regard to bias in the algorithms used in autonomous weapons. In order to mitigate the significant risk, they pose the fundamental rights and compliance with international law. This would include comprehensive testing and reviews in order to identify and correct potential biases and rigorous documentation of the datasets used in autonomous weapons in order to enhance traceability and transparency and provide information regarding motivation, the collection process and recommended use. In conclusion, Chair, it is clear that AI technologies mirror our societies but often in problematic ways that pose notable risks if they go unchecked. We must be proactive in engaging and addressing these. We look forward to further engagement in this area during the GGE and throughout the intercessional process. The working paper has now been officially submitted and will be circulated shortly. Thank you, Chair.","[...]Throughout the process of the GGE on laws, a range of states, international organizations, civil society, academia and industry have consistently acknowledged the risks related to artificial intelligence and bias, in particular with regard to gender and racial bias. This is something which was also raised by several Delegations during our session yesterday afternoon and was likewise the subject of a side event hosted yesterday by UNIDIR, together with the permanent missions of Canada, Costa Rica, Germany, Ireland, Mexico and Panama. At yesterday's event, it was stressed that gender and other forms of biases in AI technologies go beyond technical solutions and there is a need for collective action and cooperation in this regard. As you will be aware, Chair, bias on autonomous weapons is also something that has been discussed in a range of working papers submitted to the GGE over the year. In this vein, Canada, Costa Rica, Germany, Ireland, Panama and Mexico have submitted a new working paper on the issue of autonomous weapons and bias. As our working paper notes, algorithms and related machine learning risk repeating, amplifying or contributing to unjust biases that programmers may not be aware of or that are the result of narrow data selection. Indeed, it is already acknowledged by industry and practitioners as an uncontroversial fact that human beings consciously or unconsciously encode their own biases into the programmes they write. As some experts have noted, bias is inherent in society and thus inherent in AI as well. This represents a major challenge in how we think and approach these issues both at the GGE and elsewhere and it demands substantive collective action on our part. In our working paper, we present a range of recommendations for the GGE to address some of these issues including that the GGE clearly identifies and recognizes the risk that the integration algorithmic biases into autonomous weapon poses to fundamental rights and safety. This should be done in a factual manner and the GGE should develop appropriate measures to tackle the issue. Furthermore, we recommend that the future normative framework on autonomous weapons should include a number of positive obligations and commitments with regard to bias in the algorithms used in autonomous weapons. In order to mitigate the significant risk, they pose the fundamental rights and compliance with international law. This would include comprehensive testing and reviews in order to identify and correct potential biases and rigorous documentation of the datasets used in autonomous weapons in order to enhance traceability and transparency and provide information regarding motivation, the collection process and recommended use. In conclusion, Chair, it is clear that AI technologies mirror our societies but often in problematic ways that pose notable risks if they go unchecked. We must be proactive in engaging and addressing these. We look forward to further engagement in this area during the GGE and throughout the intercessional process. The working paper has now been officially submitted and will be circulated shortly. [...]",x,x,,x,,,,,,x,x,x,x,,,,,x,x
NGO ENCODE JUSTICE,11:34:04,2024-08-29,0:03:16,"Thank you, Chair. As this is the first time addressing the room on behalf of ENCO Justice, we would first like to thank you for your continuous efforts both before and during the meeting given the focus of our organization to advocate for the human centric development of AI, there are two points we would like to bring under attention. In the third paragraph, the view is expressed that there should be a prohibition of laws that in all circumstances make the civilian population as such, individual civilians or civilian objects the object of an attack. Now, the greatest proposed advantage of using autonomous weapons and automated decision making in general, for example, limiting combatant loss of life can be achieved if and only if the potential targets are objectified and categorized. Without this classification, including objectifying and categorizing human beings, the benefits of using algorithms for the use of force are close to none. Hence, the only way in which the civilian population is not made an object of attack would be to regulate the classification of objects within the algorithmic decision making of AWS. If we know one thing about objectifying and classifying human beings, it is that it is a first step towards a crime that we should under no circumstance invite through loopholes in any future AWS instrument, and that is genocide. We have a choice here. Either we facilitate any power with bad intentions to commit genocide or we decide to carefully regulate classification with the intent of use of force. The latter would also be aligned with good practice in AI regulation, and that is to regulate the risk rather than the specific characteristics of a system. Systems change. The value of human life does not. Then secondly, the fourth paragraph refers to the required anticipation and control over the effects of an attack which in the case of automated weapon systems requires the predictability and reliability of used algorithms. Building on the on the argument posed just before on the focus of classification, it should also be noted that over time this classification automatically becomes less accurate. This is caused by what data scientists like myself would call algorithmic decay or model drift. Decay is caused by an AI algorithm self-learning based on historic data without being able to adapt itself to a changing environment or changing relationships between variables. All this technical explanation does come to a point I promise, and that is that the only way to ensure anticipated and controlled effects of AWS is by requiring periodic reassessment of the evaluation measures that undoubtedly will have to be part of any future instrument to be effective. Summarizing, we call on high contracting parties to specifically consider the meaning of these words to the algorithmic context of automated weapon systems by focusing on the classifying and objectifying aspects and include regular reassessment of evaluation measures in any future instrument. Thank you.","[...] Then secondly, the fourth paragraph refers to the required anticipation and control over the effects of an attack which in the case of automated weapon systems requires the predictability and reliability of used algorithms. Building on the argument posed just before on the focus of classification, it should also be noted that over time this classification automatically becomes less accurate. This is caused by what data scientists like myself would call algorithmic decay or model drift. Decay is caused by an AI algorithm self - learning based on historic data without being able to adapt itself to a changing environment or changing relationships between variables. All this technical explanation does come to a point I promise, and that is that the only way to ensure anticipated and controlled effects of AWS is by requiring periodic reassessment of the evaluation measures that undoubtedly will have to be part of any future instrument to be effective. Summarizing, we call on high contracting parties to specifically consider the meaning of these words to the algorithmic context of automated weapon systems by focusing on the classifying and objectifying aspects and include regular reassessment of evaluation measures in any future instrument. [...]",x,,,,x,,,,,x,x,,,,,,x,,
EUROPEAN UNION,11:38:55,2024-08-30,0:04:59,"Thank you very much, Mr. Chair. With regard to the first three paragraphs presented in this section, the EU would like to add following suggestions, specifically on legal reviews, in the study, development, acquisition or adoption of a new weapon, means or methods of warfare, determination must be made whether its employment would in some or all circumstances be prohibited by international law. Next, accountability framework should be established by states engaged in the life cycle of emerging technologies in the area of laws. Moreover, risk assessments and mitigation measures should be part of the design, development, testing and deployment cycle of emerging technologies in any weapon systems. Tailored risk mitigation measures should be adopted and implemented across the entire life cycle of the system. We are of the view that during the design, development, testing, deployment and use of lethal autonomous weapons systems, states must consider as appropriate risks such as civilian casualties and take precautions to minimize the risk of harm to civilians and civilian objects as well as other types of risks including but not limited to the risk of unintended engagements, risk of loss of control of the system, risk of diversion to unauthorized users including terrorist groups and risk of acquisition by terrorist groups and taking into account relevant ethical principles. Risk mitigation measures could include the following : First, rigorous testing and evaluation to inform an assessment of how the weapon system will perform in the anticipated circumstances of its use. Second, legal reviews and sharing of best practices. Third, sufficient understanding depending on the role and level of responsibilities of the system's way of operating, its effect and likely interaction with the environment. Four, readily understandable human machine interfaces and controls. Five, comprehensive and systematic training of personnel. Six, the activation mechanism where appropriate. Seven, establishing doctrine and procedures. Eight, circumscribing weapons use for rules of engagement. And last, assessment by the users. With regard to the bias in the algorithm used in lethal autonomous weapon systems, the EU recognizes the critical role that data plays for AI based technologies. Social biases that could have a potential impact on emerging technologies, for example, for gender, age, racial and disability bias in algorithms should also be given due consideration. Risk assessment and mitigation measures should prevent unintended bias in the development and use of the weapon system, including gender, ethnicity, age and disability. Requirements to mitigate risks associated with bias in the algorithms used in lethal autonomous weapon systems could include comprehensive testing and reviews to identify and correct potential biases, training of operators, rigorous documentation of data set used in laws in conformity with national legislation, testing of algorithmic models against benchmarks that evaluate their operation against potential bias, as appropriate, transparency on how data sets are required and handled in conformity with national legislation, and last, particular care and specific measures with regard to the integrity, veracity and quality of data in conformity with national legislation. Thank you, Mr. Chair.","[...] With regard to the bias in the algorithm used in lethal autonomous weapon systems, the EU recognizes the critical role that data plays for AI based technologies. Social biases that could have a potential impact on emerging technologies, for example, for gender, age, racial and disability bias in algorithms should also be given due consideration. Risk assessment and mitigation measures should prevent unintended bias in the development and use of the weapon system, including gender, ethnicity, age and disability. Requirements to mitigate risks associated with bias in the algorithms used in lethal autonomous weapon systems could include comprehensive testing and reviews to identify and correct potential biases, training of operators, rigorous documentation of data set used in laws in conformity with national legislation, testing of algorithmic models against benchmarks that evaluate their operation against potential bias, as appropriate, transparency on how data sets are required and handled in conformity with national legislation, and last, particular care and specific measures with regard to the integrity, veracity and quality of data in conformity with national legislation. [...]",x,x,,x,,,,,,x,x,,x,,,,,,
INDIA,11:48:27,2024-08-30,0:02:32,"Thank you, Chair. I will limit my intervention to the section on risk mitigation. We have the following points to make. We would like the chapeau to the section to read as other measures to be implemented in accordance with national policies or framework to mitigate risks and further enhance compliance with IHL. Secondly, in the first para, we think that the phrase reliable expectation of how the weapon system will perform in the anticipated circumstances of its use is fairly vague and subjective and could be dropped unless there is a common understanding on what reliable expectations is achieved within the group. However, we would agree with the proposal made by the Russian Federation as also supported by the ICRC and many other Delegations on the need to include requirements for testing and evaluation of the systems to take place in real or realistic operational environments. On para 2, we would like to insert states should consistent with their legal obligations conduct legal reviews of laws to understand the weapons capabilities and limitations. On paragraph 3, we believe the word detecting here is not enough. We should add detecting and mitigating possible unwanted bias in datasets including to tackle data drift and here we would also agree with the point made by some other Delegations on unwanted bias being redundant and bias is presumably always unwanted. In the last para on para 4, we could bring uniformity with paragraph 3 by referring to detecting and mitigating unwanted automation. We would also like to propose a new measure based on guiding principle E agreed by the group which would read as when developing or acquiring new weapon systems based on emerging technologies in the areas of lethal autonomous weapon systems, physical security, appropriate nonphysical safeguards including cybersecurity against hacking or data spoofing, the risk of acquisition by terrorist groups and the risk of proliferation should be considered. We would be happy to send this in writing to the Chair. Thank you.","[...] On paragraph 3, we believe the word detecting here is not enough. We should add detecting and mitigating possible unwanted bias in datasets including to tackle data drift and here we would also agree with the point made by some other Delegations on unwanted bias being redundant and bias is presumably always unwanted. [...]",,,,x,,,,,,x,,,,,,,,,
HOLY SEE,11:58:56,2024-03-04,0:03:21,"In his message for the 2024 World Day of Peace, Pope Francis affirmed that the research on emerging technologies in the areas of so-called lethal autonomous weapons systems including the weaponization of artificial intelligence is a cause for grave ethical concern. As conflicts and divisions continue to affect humanity, there can be no escaping serious ethical questions related to the armament sector. The urgency of this matter is increasing due to the widespread development and use of armed drones including kamikaze and swarming drones. This has led to a lessened perception of the devastation caused and the burden of responsibility for their use resulting in an even more cold and detached approach to the immense tragedy of war. Autonomous weapon systems cannot be held morally responsible subjects. Human beings possess a unique capacity for moral judgment and ethical decision making that cannot be replicated by a complex set of algorithms and their capacity cannot be reduced to programming a machine that however intelligent remains a machine. If operating without any direct human supervision, such systems may make errors in identifying the intended targets due to unidentified biases induced by their self-learning capabilities. Therefore, it is crucial to ensure sufficient, meaningful and consistent human oversight over weapon systems equipped with artificial intelligence functions. Autonomous weapon systems lack the ability to comprehend the consequences of causing excessive or unnecessary suffering engaging in indiscriminate killing or adhering to the principles of humanity. These expressions which are codified in IHL require interpretation, good faith and prudent judgment, all of which are uniquely replaceable human traits. Mr. Chair, the Holy See has been a vocal supporter of negotiation of a legally binding instrument on laws and in the meantime of an immediate moratorium on their development or use. It is increasingly urgent to deliver concrete results given the pace of technological advancement. This is also mindful of the decade of dedicated discussions on laws. As we have been tasked to further consider and formulate the set of elements of an instrument to address the issue of laws, the Holy See encourages full use of this GGE to work specifically on the scope of prohibitions and regulations of weapon systems based on their degrees of autonomy, keeping firmly at the center of our deliberations the fundamental reference to the dignity of the human person. The development of ever more sophisticated weaponry even with the purpose of reducing collateral damage is not a long-lasting solution. War originates in the human hearts. Therefore, the real solution lies in the conversion to a culture of peace that places technological advancement at the service of humanity, of integral human development and of the common good. Thank you, Mr. Chair.","[...] Autonomous weapon systems cannot be held morally responsible subjects. Human beings possess a unique capacity for moral judgment and ethical decision making that cannot be replicated by a complex set of algorithms and their capacity cannot be reduced to programming a machine that however intelligent remains a machine. If operating without any direct human supervision, such systems may make errors in identifying the intended targets due to unidentified biases induced by their self - learning capabilities. [...] ",,,,x,,,,,,,x,x,,,,,,,
IRELAND,15:27:09,2024-03-05,0:03:09,"These fruitful and substantive discussions and the format you have chosen, we believe this is the way forward towards increasing convergence on the topic. Chair, autonomous weapons systems pose various challenges with regard to IHL. In particular, this includes factors such as unpredictability, the complex context based decisions necessary in the application of force, the need for qualitative human judgment and algorithmic biases. We need only point to the abundance of scientific, academic and civil society research contributions in these areas which underline time and again the value of human centrality. The pressing need to address the issue of explainability in AI and addressing bias and ethical considerations more broadly. A specific question of which elements, characteristics or characteristics would make autonomous weapons systems incompatible with IHL, we would point more broadly that this should refer to autonomous weapons systems that cannot distinguish between military and civilian targets. This is particularly relevant to autonomous weapons systems which rely on artificial intelligence techniques, on machine learning and which prevent the human user from being able to understand, predict or explain the system's output. This impossibility effectively results in a lack of control over the weapons effects, making it potentially indiscriminate by nature. We refer here to what is commonly called the black box challenge and which refers to the design of autonomous weapons systems that arrive at conclusions or decisions without providing any explanation as to how they were reached. Additionally, and as our colleagues in the ICRC have highlighted, in such systems, target selection is based on a generalized target profile that is unlikely to be able to account for the non-exhaustive range of contextual signals showing that a person is protected from attack. Whilst the user or commander may have made a general assessment that one or more people in the area constitutes a lawful target at the time of launching the autonomous weapons system, those people's actions, intentions and physical state and hence their qualification as a lawful target can change rapidly. The IHL rule on distinction requires assessment on the concrete circumstances prevailing at the relevant time and place. By definition, Chair, these types of systems cannot comply with IHL as their function cannot employ the IHL principles of distinction and proportionality. Chair, we believe that it is important that we have convergence in the room on this fundamental point. Systems that are fully autonomous by design or that do not include meaningful human control cannot comply with IHL. My Delegation remains flexible on how effective regulation is achieved, including through a combination of positive and negative obligations, legal and practical measures that ensure compliance with IHL. But the important point here is to ensure compliance. If there is doubt about a system, then it should not be used, developed or designed. I will leave it there now, Chair, but thank you.","[...] Chair, autonomous weapons systems pose various challenges with regard to IHL. In particular, this includes factors such as unpredictability, the complex context based decisions necessary in the application of force, the need for qualitative human judgment and algorithmic biases. We need only point to the abundance of scientific, academic and civil society research contributions in these areas which underline time and again the value of human centrality. The pressing need to address the issue of explainability in AI and addressing bias and ethical considerations more broadly. A specific question of which elements, characteristics or characteristics would make autonomous weapons systems incompatible with IHL, we would point more broadly that this should refer to autonomous weapons systems that cannot distinguish between military and civilian targets. [...]
",x,,,x,,,,,,,x,,,,,,,,
